,id_visitor,SessionLength,NumSessions,MeanSessionLength,SearchesPerSession,MessagesPerSearch,RequestsPerSearch,requestsentbinary,messagesentbinary,searchbinary
526,47adbdec-72b0-4482-9fc6-06d71c01d4b6,2304.0,14,0 days 00:02:44.571428571,0.214285714286,0.333333333333,0.0,0,1,1
527,4814d323-95f5-47be-a460-c0779052ac79,138965.0,108,0 days 00:21:26.712962962,0.194444444444,1.61904761905,0.285714285714,1,1,1
528,484681334fd4caee3333c425873a1ceba333b0de,4807.0,5,0 days 00:16:01.400000000,0.4,0.0,0.0,0,0,1
529,48936a43-2778-403f-968a-d27f36488476,81807.0,73,0 days 00:18:40.643835616,0.232876712329,0.941176470588,0.0,0,1,1
530,4c9aa89c-395e-4e62-8b1d-2ad7dbab658c,1790.0,1,0 days 00:29:50.000000000,1.0,0.0,0.0,0,0,1
531,4ddd5597-ca4e-41c2-a5a5-7da736cb9ec9,3408.0,11,0 days 00:05:09.818181818,0.272727272727,0.0,0.0,0,0,1
532,5394362b-4b9f-4c56-89be-2fb585140aef,4304.0,4,0 days 00:17:56.000000000,0.25,1.0,0.0,0,1,1
533,53aba509-c7b3-4dd7-bd75-c7c9a60512ff,5790.0,12,0 days 00:08:02.500000000,0.25,0.0,0.0,0,0,1
534,559bd2cb2fd4922a9c4fd1f8f80846798afdec59,5772.0,2,0 days 00:48:06.000000000,1.0,0.0,0.0,0,0,1
535,56463d31-5ebd-4784-904e-69e5b23b9ec4,1030.0,3,0 days 00:05:43.333333333,0.0,,,0,0,0
536,567dea51-4d5b-45dd-9f51-4ecf2b523d0a,3644.0,7,0 days 00:08:40.571428571,0.428571428571,0.666666666667,0.333333333333,1,1,1
537,56c684c1-72b8-49d1-be9f-4b4537def6ac,12716.0,21,0 days 00:10:05.523809523,0.428571428571,0.333333333333,0.0,0,1,1
538,599c5599-420f-4e87-a57a-5eee73d6995a,6470.0,7,0 days 00:15:24.285714285,0.0,inf,,0,1,0
539,5cee382a-8f95-44ac-8ff3-2744ecc02df6,3595.0,4,0 days 00:14:58.750000000,0.25,1.0,1.0,1,1,1
540,5d084af14e32f2ed1fac1e83fa775cfc894b3ecc,347.0,1,0 days 00:05:47.000000000,0.0,,,0,0,0
541,5fa7c25a-3853-409a-a352-3ce9778dc882,21939.0,12,0 days 00:30:28.250000000,0.166666666667,0.0,0.0,0,0,1
542,68cd8fe2-bd28-45ae-beb3-5b9597cac40a,55663.0,103,0 days 00:09:00.417475728,0.165048543689,1.23529411765,0.235294117647,1,1,1
543,6a499ae1-6d2a-4c58-9224-46beb6efa5b3,5897.0,9,0 days 00:10:55.222222222,0.0,inf,,0,1,0
544,6e493d08-69ff-4273-8b06-a6da94372736,21276.0,31,0 days 00:11:26.322580645,0.193548387097,0.0,0.0,0,0,1
545,6f072a1ddef4abfbb900e8ce570d1f778e71c8e1,731.0,2,0 days 00:06:05.500000000,0.0,,,0,0,0
546,6f3b94f4-3512-49ae-985c-55d791308eb7,3065.0,5,0 days 00:10:13.000000000,0.8,0.0,0.0,0,0,1
547,711654b1-c1d8-4b5e-a7a8-dd125faafa90,3355.0,5,0 days 00:11:11.000000000,0.2,0.0,0.0,0,0,1
548,7315ed68-f8d1-4675-b97c-519bf8cd54bf,87077.0,194,0 days 00:07:28.850515463,0.128865979381,0.72,0.24,1,1,1
549,738e7940-7b64-4dd5-ba34-f2619fd47aef,6468.0,18,0 days 00:05:59.333333333,0.444444444444,0.125,0.0,0,1,1
550,76f44b68-0cb9-41de-ac32-d933b5bd753e,132040.0,160,0 days 00:13:45.250000000,0.38125,0.803278688525,0.0983606557377,1,1,1
551,788f8a3f-969b-4d55-9b4b-9f88e682d24a,1141.0,7,0 days 00:02:43.000000000,0.142857142857,0.0,0.0,0,0,1
552,7d1077c9cf5172b1faf6f293586c3ef08f65170a,355.0,4,0 days 00:01:28.750000000,0.0,,,0,0,0
553,80fbbd53-1f90-4886-be44-562462d9ae6d,11746.0,40,0 days 00:04:53.650000000,0.25,0.0,0.0,0,0,1
554,819a642b-8a73-4267-b0e1-74d2dbd030d0,21.0,2,0 days 00:00:10.500000000,0.0,,,0,0,0
555,81c8f7a7-835a-4060-bbed-7a78d85dbd8d,69489.0,131,0 days 00:08:50.450381679,0.0229007633588,5.33333333333,0.0,0,1,1
556,873acdb5bccc92c8,768.0,1,0 days 00:12:48.000000000,0.0,,,0,0,0
557,878950c426a81a60022b2978db1dc9f73a27f019,1349.0,1,0 days 00:22:29.000000000,1.0,0.0,0.0,0,0,1
558,88479d1a-748f-4ba1-9596-4775e0dd4077,13010.0,3,0 days 01:12:16.666666666,0.333333333333,2.0,0.0,0,1,1
559,888311dd-7b0e-4e12-a684-5105aa338e03,3677.0,13,0 days 00:04:42.846153846,0.0769230769231,0.0,0.0,0,0,1
560,89d20ddd-7a40-493d-9c63-633160a13334,4987.0,10,0 days 00:08:18.700000000,0.5,0.0,0.0,0,0,1
561,8acfc07ea69d6dc3febc09f2ba0b77d0fcc64844,5343.0,8,0 days 00:11:07.875000000,0.625,0.0,0.0,0,0,1
562,8bcc70ec-7426-4341-8581-e3eb21ab21f1,64671.0,109,0 days 00:09:53.311926605,0.266055045872,0.310344827586,0.172413793103,1,1,1
563,8c65f804-7ab2-4ab9-bed2-f50c9f6c4c19,5182.0,5,0 days 00:17:16.400000000,0.6,0.666666666667,0.333333333333,1,1,1
564,8ce26bfc-7af1-4d4a-b731-3ff3e641ab38,28234.0,27,0 days 00:17:25.703703703,0.222222222222,0.333333333333,0.333333333333,1,1,1
565,919c81b1-de26-44d2-b385-22c08d9e19f3,1157.0,1,0 days 00:19:17.000000000,0.0,,,0,0,0
566,9241bf28-7a36-4f7a-a580-ac3c568e38ac,20292.0,40,0 days 00:08:27.300000000,0.25,0.6,0.1,1,1,1
567,9410bf15-a2a2-420d-85ab-e7230e542653,58771.0,197,0 days 00:04:58.329949238,0.0253807106599,9.6,0.0,0,1,1
568,9480a694-a8e9-4254-847b-74b23dcc4352,34276.0,29,0 days 00:19:41.931034482,0.51724137931,0.2,0.0,0,1,1
569,94f833f1-9ef3-4b33-aee6-3100770e69ee,30017.0,46,0 days 00:10:52.543478260,0.282608695652,0.615384615385,0.153846153846,1,1,1
570,962a9cf4-727e-4755-9923-bf3794421194,7339.0,10,0 days 00:12:13.900000000,0.9,0.0,0.0,0,0,1
571,98c352ee-12e0-4d43-99a3-97edd8dd4bb1,142469.0,431,0 days 00:05:30.554524361,0.00696055684455,13.0,0.0,0,1,1
572,9a22cc16-a727-4ec2-808f-51a0fddaa467,16523.0,14,0 days 00:19:40.214285714,0.428571428571,0.666666666667,0.333333333333,1,1,1
573,9adeb457-10b3-475f-93e0-8ec69dde50c7,16765.0,17,0 days 00:16:26.176470588,0.235294117647,1.25,0.25,1,1,1
574,9bbbe561-e64b-4677-a0b5-94c185e7fd05,16495.0,21,0 days 00:13:05.476190476,0.142857142857,2.33333333333,0.0,0,1,1
575,9cbe564a-1263-451e-bdab-1ed4967095ef,64027.0,169,0 days 00:06:18.857988165,0.0177514792899,15.6666666667,0.0,0,1,1
576,9cc1ab22-ffd4-4400-91b0-b8b7c2a8d16a,18601.0,17,0 days 00:18:14.176470588,0.352941176471,0.5,0.166666666667,1,1,1
577,9e01486a-f995-4710-933d-be6d26ebd301,2171.0,2,0 days 00:18:05.500000000,0.5,1.0,0.0,0,1,1
578,a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,10759.0,14,0 days 00:12:48.500000000,0.214285714286,0.333333333333,0.0,0,1,1
579,a09f3a05-ce6c-463a-966e-cbc7b4fd172e,69383.0,90,0 days 00:12:50.922222222,0.144444444444,1.0,0.230769230769,1,1,1
580,a0aa2dc2-c0c1-468c-8eb1-e5b40daa61d6,3291.0,3,0 days 00:18:17.000000000,0.666666666667,0.5,0.0,0,1,1
581,a0b33472-b4c8-4a2c-962f-19ddf48bbe6d,49019.0,55,0 days 00:14:51.254545454,0.4,0.318181818182,0.0,0,1,1
582,a111af2f-9f56-4f88-8c99-3d3bfafdb5ec,7664.0,7,0 days 00:18:14.857142857,0.571428571429,0.0,0.0,0,0,1
583,a49776d9-9382-4c86-9b59-e3513679fde8,12732.0,29,0 days 00:07:19.034482758,0.448275862069,0.846153846154,0.0769230769231,1,1,1
584,a5a87dd2-f39a-4fe4-875a-bf39f1e73ae0,3196.0,6,0 days 00:08:52.666666666,0.5,0.0,0.0,0,0,1
